repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
InternLM/xtuner,Model development,Modeling & training,3708,2,0.05%,25,0.68%,300,"An efficient, flexible and full-featured toolkit for fine-tuning LLM (InternLM2, Llama3, Phi3, Qwen, Mistral, ...)","LZHgrla, HIT-cwh, pppppM",29,2023-07-11,2024-03-06,0
pezzolabs/pezzo,AI engineering,AIE framework,2376,2,0.08%,15,0.63%,194,"🕹️ Open-source, developer-first LLMOps platform designed to streamline prompt design, version management, instant delivery, collaboration, troubleshooting, observability and more.","arielweinberger, ItayElgazar, eylonmiz",19,2023-04-22,2024-07-23,0
mpoon/gpt-repository-loader,Applications,Coding,2744,2,0.07%,16,0.58%,221,Convert code repos into an LLM prompt-friendly format. Mostly built by GPT-4.,"mpoon, tnvmadhav, zackees",3,2023-03-16,2023-03-20,0
GoogleCloudPlatform/generative-ai,Tutorials,,6754,2,0.03%,39,0.58%,1811,"Sample code and notebooks for Generative AI on Google Cloud, with Gemini on Vertex AI","holtskinner, koverholt, polong-lin",100+,2023-05-05,2024-09-11,0
OpenNMT/CTranslate2,Model development,Inference optimization,3211,2,0.06%,18,0.56%,283,Fast inference engine for Transformer models,"guillaumekln, minhthuc2502, vince62s",48,2019-09-23,2024-07-04,0
tensorchord/Awesome-LLMOps,Lists,,3709,2,0.05%,20,0.54%,357,An awesome & curated list of best LLMOps tools for developers,"gaocegege, WarrenWen666, NeroHin",82,2022-04-15,2024-09-06,0
huggingface/optimum,Model development,Modeling & training,2451,2,0.08%,13,0.53%,435,🚀 Accelerate training and inference of 🤗 Transformers and 🤗 Diffusers with easy to use hardware optimization tools,"fxmarty, echarlaix, JingyaHuang",100+,2021-07-20,2024-09-11,0
microsoft/lmops,AI engineering,AIE framework,3555,2,0.06%,16,0.45%,266,General technology for enabling AI capabilities w/ LLMs and MLLMs,"donglixp, t1101675, buaahsh",23,2022-12-13,2024-07-04,0
TimDettmers/bitsandbytes,Model development,Inference optimization,6014,2,0.03%,25,0.42%,606,Accessible large language models via k-bit quantization for PyTorch.,"TimDettmers, Titus-von-Koeller, justheuristic",77,2021-06-04,2024-08-06,5355
DSXiangLi/DecryptPrompt,Lists,,2557,2,0.08%,10,0.39%,259,总结Prompt&LLM论文，开源数据&模型，AIGC应用,"DSXiangLi, gordonhu608, aFlyBird0",5,2023-02-10,2023-12-18,0
google-deepmind/gemma,Model repo,Multimodal,2377,2,0.08%,9,0.38%,297,Open weights LLM from Google DeepMind.,"texasmichelle, alimuldal, Molugan",9,2024-02-20,2024-03-26,0
levihsu/OOTDiffusion,Model repo,Multimodal,5379,2,0.04%,20,0.37%,791,Official implementation of OOTDiffusion: Outfitting Fusion based Latent Diffusion for Controllable Virtual Try-on,"levihsu, T-Gu",2,2024-01-24,2024-03-08,0
THUDM/CogVLM,Model repo,Multimodal,5852,2,0.03%,21,0.36%,401,a state-of-the-art-level open visual language model | 多模态预训练模型,"zRzRzRzRzRzRzR, 1049451037, wenyihong",18,2023-09-18,2024-05-29,0
kyrolabs/awesome-langchain,Tutorials,,7424,2,0.03%,26,0.35%,512,😎 Awesome list of tools and projects with the awesome LangChain framework,"sbusso, MCKevmeister, seawatts",47,2023-02-28,2024-07-20,0
MineDojo/Voyager,Applications,Bots,5475,2,0.04%,18,0.33%,505,An Open-Ended Embodied Agent with Large Language Models,"xieleo5, cmaranes, FOLLGAD",12,2023-05-25,2023-07-27,0
lamini-ai/lamini,Model development,Modeling & training,2503,2,0.08%,8,0.32%,155,,"sharonzhou, edamamez, gdiamos",13,2023-04-20,2024-08-13,0
mlc-ai/web-llm,AI engineering,AI interface,12280,2,0.02%,37,0.30%,774,High-performance In-browser LLM Inference Engine ,"CharlieFRuan, Neet-Nestor, tqchen",36,2023-04-13,2024-08-31,0
HumanAIGC/EMO,Model repo,,7397,2,0.03%,22,0.30%,898,Emote Portrait Alive: Generating Expressive Portrait Videos with Audio2Video Diffusion Model under Weak Conditions,"lucaskingjade, HumanAIGC",2,2024-02-27,1000-01-01,0
pytorch-labs/gpt-fast,Model development,Inference optimization,5505,2,0.04%,16,0.29%,503,Simple and efficient pytorch-native transformer text generation in <1000 LOC of python.,"yanboliang, Chillee, mikekgfb",20,2023-10-17,2024-09-04,0
openai/improved-diffusion,Model repo,Multimodal,3132,2,0.06%,9,0.29%,477,Release for Improved Denoising Diffusion Probabilistic Models,"unixpickle, NoahSchiro",2,2021-02-08,2024-03-13,0
nmslib/hnswlib,Infrastructure,VectorDB,4260,2,0.05%,12,0.28%,625,Header-only C++/python library for fast approximate nearest neighbors,"yurymalkov, dyashuni, dbespalov",49,2017-07-06,2024-07-21,0
Mooler0410/LLMsPracticalGuide,Tutorials,,9267,2,0.02%,26,0.28%,704,"A curated list of practical guide resources of LLMs (LLMs Tree, Examples, Papers)","Mooler0410, JingfengYang, trx14",13,2023-04-23,2023-08-06,0
BlinkDL/AI-Writer,Applications,Writing,2896,2,0.07%,8,0.28%,514,AI 写小说，生成玄幻和言情网文等等。中文预训练生成模型。采用我的 RWKV 模型，类似 GPT-2 。AI写作。RWKV for Chinese novel generation.,"BlinkDL, www, Wrg1t",3,2021-07-26,2022-01-15,27271
VainF/Torch-Pruning,Model development,Inference optimization,2595,2,0.08%,7,0.27%,320,[CVPR 2023] Towards Any Structural Pruning; LLMs / SAM /  Diffusion / Transformers / YOLOv8 / CNNs,"VainF, Hyunseok-Kim0, HollyLee2000",16,2019-12-15,2024-07-24,252
whylabs/whylogs,Infrastructure,Monitoring,2625,2,0.08%,7,0.27%,118,"An open-source data logging library for machine learning models and data pipelines. 📚 Provides visibility into data quality & model performance over time. 🛡️ Supports privacy-preserving data collection, ensuring safety & robustness. 📈","jamie256, FelipeAdachi, richard-rogers",23,2020-08-14,2024-09-11,122
thunlp/OpenPrompt,AI engineering,Prompt engineering,4301,2,0.05%,11,0.26%,443,An Open-Source Framework for Prompt-Learning.,"ShengdingHu, yulinchen99, Achazwl",17,2021-09-30,2023-05-06,0
ekzhu/datasketch,AI engineering,Dataset engineering,2513,2,0.08%,6,0.24%,294,"MinHash, LSH, LSH Forest, Weighted MinHash, HyperLogLog, HyperLogLog++, LSH Ensemble and HNSW","ekzhu, vmarkovtsev, aastafiev",27,2015-03-20,2024-03-26,27
TaskingAI/TaskingAI,AI engineering,AIE framework,6026,2,0.03%,14,0.23%,295,The open source platform for AI-native application development.,"jameszyao, LinkW77, taskingaiwww",17,2024-01-08,2024-09-11,0
mckaywrigley/ai-code-translator,Applications,Coding,3912,2,0.05%,8,0.20%,576,Use AI to translate code from one language to another.,"mckaywrigley, freestatman, dreamYiZ",7,2023-03-31,2023-04-05,0
google-deepmind/acme,Model development,Modeling & training,3468,2,0.06%,7,0.20%,426,A library of reinforcement learning components and agents,"bshahr, sinopalnikov, qstanczyk",68,2020-05-01,2022-01-08,0
homanp/superagent,AI engineering,Agent,5107,2,0.04%,10,0.20%,818,🥷 Run AI-agents with an API,"homanp, elisalimli, dsinghvi",58,2023-05-10,2024-06-05,0
Unity-Technologies/ml-agents,Applications,Bots,16897,2,0.01%,33,0.20%,4120,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.,"vincentpierre, awjuliani, surfnerd",100+,2017-09-08,2024-08-26,87
google-deepmind/open_spiel,Model development,Modeling & training,4169,2,0.05%,8,0.19%,919,OpenSpiel is a collection of environments and algorithms for research in general reinforcement learning and search/planning in games.,"lanctot, michalsustr, Jazeem",100+,2019-07-22,2024-08-27,88
google-research/t5x,Model development,Modeling & training,2629,2,0.08%,5,0.19%,297,,"adarob, cpgaffney1, hwchung27",100+,2021-11-01,2024-09-03,0
luosiallen/latent-consistency-model,Model repo,,4279,2,0.05%,8,0.19%,222,Latent Consistency Models: Synthesizing High-Resolution Images with Few-Step Inference,"luosiallen, tyq1024, chenxwh",12,2023-10-06,2023-11-11,0
togethercomputer/RedPajama-Data,Model development,Dataset engineering,4519,2,0.04%,8,0.18%,344,The RedPajama-Data repository contains code for preparing large datasets for training large language models.,"mauriceweber, xzyaoi, zhangce",8,2023-04-14,2024-08-08,0
OpenBMB/BMTools,AI engineering,Agent,2876,2,0.07%,5,0.17%,269,"Tool Learning for Big Models, Open-Source Solutions of ChatGPT-Plugins","thuqinyj16, Kunlun-Zhu, zhouxh19",18,2023-03-31,2023-06-06,0
JohnSnowLabs/spark-nlp,Model development,Modeling & training,3805,2,0.05%,6,0.16%,708,State of the Art Natural Language Processing,"maziyarpanahi, saif-ellafi, DevinTDHa",90,2017-09-24,2024-09-11,0
Alpha-VLLM/LLaMA2-Accessory,Model development,Modeling & training,2680,2,0.07%,4,0.15%,170,An Open-source Toolkit for LLM Development,"ChrisLiu6, Enderfga, kriskrisliu",19,2023-07-21,2024-05-24,0
google-research/google-research,Model development,Modeling & training,33793,2,0.01%,41,0.12%,7827,Google Research,"joel-shor, rybakov, vratnakar",100+,2018-10-04,1000-01-01,0
deanxv/coze-discord-proxy,AI engineering,AI interface,3600,2,0.06%,4,0.11%,1054,代理Discord对话Coze-Bot，实现以API形式请求GPT4模型，提供对话、文生图、图生文、知识库检索等功能。,"deanxv, k8scat",2,2024-01-26,2024-02-06,743
nlpxucan/WizardLM,Model repo,,9190,2,0.02%,10,0.11%,712,"LLMs build upon Evol Insturct: WizardLM, WizardCoder, WizardMath","victorsungo, nlpxucan, ChiYeungLaw",6,2023-04-23,2024-04-15,0
leptonai/search_with_lepton,AI engineering,AIE framework,7704,2,0.03%,8,0.10%,978,Building a quick conversation-based search demo with Lepton AI.,"Yangqing, vthinkxie, NickN0309",6,2024-01-23,2024-09-01,0
arc53/DocsGPT,Applications,Info aggregation,14581,2,0.01%,14,0.10%,1468,"GPT-powered chat for documentation, chat with your documents","dartpain, ManishMadan2882, siiddhantt",100+,2023-02-02,2024-09-11,89
life4/textdistance,AI engineering,Dataset engineering,3354,2,0.06%,3,0.09%,249,"📐 Compute distance between sequences. 30+ algorithms, pure python implementation, common interface, optional external libs usage.","orsinium, juliangilbey, musicinmybrain",14,2017-05-05,2024-09-09,1015
OpenGVLab/InternImage,Model repo,Multimodal,2474,2,0.08%,2,0.08%,231,[CVPR 2023 Highlight] InternImage: Exploring Large-Scale Vision Foundation Models with Deformable Convolutions,"czczup, Zeqiang-Lai, YeShenglong1",13,2022-11-10,2024-01-23,7069
hpcaitech/ColossalAI,Model development,Modeling & training,38591,2,0.01%,30,0.08%,4324,"Making large AI models cheaper, faster and more accessible","FrankLeeeee, ver217, feifeibear",100+,2021-10-28,2024-09-11,0
sfyc23/EverydayWechat,Applications,Bots,9967,2,0.02%,7,0.07%,2310,微信助手：1.每日定时给好友（女友）发送定制消息。2.机器人自动回复好友。3.群助手功能（例如：查询垃圾分类、天气、日历、电影实时票房、快递物流、PM2.5等）,"sfyc23, yaochaorui, L1cardo",13,2019-03-11,2019-12-14,0
snorkel-team/snorkel,Model development,Dataset engineering,5784,2,0.03%,4,0.07%,860,A system for quickly generating training data with weak supervision,"ajratner, henryre, stephenbach",69,2016-02-26,2024-01-11,1055
flairNLP/flair,AI engineering,AIE framework,13810,2,0.01%,9,0.07%,2091,A very simple framework for state-of-the-art Natural Language Processing (NLP),"alanakbik, tabergma, helpmefindaname",100+,2018-06-11,2024-08-30,0
openai/shap-e,Model repo,Multimodal,11551,2,0.02%,5,0.04%,929,Generate 3D objects conditioned on text or images,"unixpickle, heewooj, ahmadmustafaanis",8,2023-04-19,2023-11-08,0
OpenMOSS/MOSS,Model repo,Agent,11916,2,0.02%,5,0.04%,1144,An open-source tool-augmented conversational language model from Fudan University,"txsun1997, xyltt, piglaker",16,2023-04-15,2023-05-16,0
google/gemma_pytorch,Model repo,Multimodal,5238,2,0.04%,2,0.04%,499,The official PyTorch implementation of Google's Gemma models,"pengchongjin, michaelmoynihan, Mon-ius",14,2024-02-20,2024-07-11,0
emilwallner/Screenshot-to-code,Applications,Coding,16369,2,0.01%,6,0.04%,1555,A neural network that transforms a design mock-up into a static website.,"emilwallner, Masa-Shin, bhageena",6,2017-10-16,2019-09-10,0
dedupeio/dedupe,AI engineering,Dataset engineering,4086,2,0.05%,1,0.02%,549,":id: A python library for accurate and scalable fuzzy matching, record deduplication and entity-resolution.","fgregg, derekeder, NickCrews",53,2012-04-20,2024-08-09,0
databrickslabs/dolly,Model repo,,10811,2,0.02%,2,0.02%,1154,"Databricks’ Dolly, a large language model trained on the Databricks Machine Learning Platform","srowen, matthayes, tnixon",13,2023-03-24,2023-06-24,0
georgezouq/awesome-ai-in-finance,Tutorials,,3256,1,0.03%,91,2.80%,395,🔬 A curated list of awesome LLMs & deep learning strategies & tools in financial market.,"georgezouq, anmorgan24, jiminHuang",18,2018-08-29,2024-04-13,0
pathwaycom/llm-app,AI engineering,AIE framework,3931,1,0.03%,69,1.76%,211,"Dynamic RAG for enterprise. Ready to run with Docker,⚡in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more.","berkecanrizai, pw-ppodhajski, dxtrous",20,2023-07-19,2023-11-17,12
llmware-ai/llmware,AI engineering,AIE framework,4471,1,0.02%,57,1.28%,819,"Unified framework for building enterprise RAG pipelines with small, specialized models","doberst, MacOS, turnham",57,2023-09-29,2024-09-11,0
argmaxinc/WhisperKit,Infrastructure,Serving,3121,1,0.03%,24,0.77%,260,On-device Speech Recognition for Apple Silicon,"ZachNagengast, jkrukowski, finnvoor",24,2024-01-26,2024-09-05,0
fchollet/ARC,AI engineering,Evals,3293,1,0.03%,25,0.76%,541,The Abstraction and Reasoning Corpus,"fchollet, ageron, kaalam",21,2019-11-05,2024-06-19,0
casibase/casibase,AI engineering,AIE framework,2677,1,0.04%,15,0.56%,347,"Spising: ⚡️Open-source AI LangChain-like RAG (Retrieval-Augmented Generation) knowledge database with web UI and Enterprise SSO⚡️, supports OpenAI, Azure, LLaMA, Google Gemini, HuggingFace, Claude, Grok, etc., chat bot demo: https://demo.casibase.com, admin UI demo: https://demo-admin.casibase.com","hsluoyz, MartinRepo, Sherlocksuper",23,2020-05-29,2024-09-08,0
NVIDIA/NeMo-Guardrails,AI engineering,Evals,3963,1,0.03%,22,0.56%,361,NeMo Guardrails is an open-source toolkit for easily adding programmable guardrails to LLM-based conversational systems.,"drazvan, schuellc-nvidia, abhijitpal1247",57,2023-04-18,2024-09-10,0
OpenGVLab/Ask-Anything,Model repo,Multimodal,2974,1,0.03%,15,0.50%,244,"[CVPR2024 Highlight][VideoChatGPT] ChatGPT with video understanding! And many more supported LMs such as miniGPT4, StableLM, and MOSS.","yinanhe, Andy1621, shepnerd",11,2023-04-19,2024-04-05,0
metavoiceio/metavoice-src,Model repo,Multimodal,3709,1,0.03%,18,0.49%,642,"Foundational model for human-like, expressive TTS","sidroopdaska, lucapericlp, vatsalaggarwal",10,2024-02-06,2024-07-18,0
google-research/scenic,Model development,Modeling & training,3240,1,0.03%,15,0.46%,426,Scenic: A Jax Library for Computer Vision Research and Beyond,"MostafaDehghani, anuragarnab, mjlm",71,2021-07-12,2024-08-28,0
PanQiWei/AutoGPTQ,Model development,Inference optimization,4316,1,0.02%,19,0.44%,460,"An easy-to-use LLMs quantization package with user-friendly apis, based on GPTQ algorithm.","PanQiWei, qwopqwop200, fxmarty",43,2023-04-13,2024-08-14,859712
replicate/cog,Infrastructure,Toolings,7784,1,0.01%,34,0.44%,543,Containers for machine learning,"bfirsh, andreasjansson, nickstenning",60,2021-02-26,2024-09-11,55415
Farama-Foundation/PettingZoo,AI engineering,Agent,2547,1,0.04%,11,0.43%,405,"An API standard for multi-agent reinforcement learning environments, with popular reference environments and related utilities","jkterry1, benblack769, jjshoots",100+,2020-01-20,2024-08-03,0
dvlab-research/LongLoRA,Model repo,,2593,1,0.04%,11,0.42%,267,Code and documents of LongLoRA and LongAlpaca (ICLR 2024 Oral),"yukang2017, naubull2, gianlucamacri",16,2023-09-21,2023-11-19,0
NExT-GPT/NExT-GPT,Model repo,Multimodal,3194,1,0.03%,12,0.38%,318,Code and models for NExT-GPT: Any-to-Any Multimodal Large Language Model,"ChocoWu, scofield7419, eltociear",4,2023-08-30,2023-09-18,0
leap-ai/headshots-starter,Applications,Image production,3761,1,0.03%,14,0.37%,630,,"Marfuen, claudfuen, alexschachne",15,2023-09-05,2024-03-27,0
freedmand/semantra,Applications,Data organization,2481,1,0.04%,9,0.36%,139,Multi-tool for semantic search,"freedmand, yych42, kianmeng",5,2023-03-31,2024-08-15,0
yerfor/GeneFace,Model repo,Multimodal,2506,1,0.04%,9,0.36%,295,GeneFace: Generalized and High-Fidelity 3D Talking Face Synthesis; ICLR 2023; Official code,"yerfor, SouthTea, xk-huang",4,2023-02-03,2024-07-08,6647
Project-MONAI/MONAI,Model development,Modeling & training,5681,1,0.02%,20,0.35%,1035,AI Toolkit for Healthcare Imaging,"wyli, Nic-Ma, KumoLiu",100+,2019-10-11,2024-09-10,0
PhoebusSi/Alpaca-CoT,Model development,Modeling & training,2561,1,0.04%,9,0.35%,241,"We unified the interfaces of instruction-tuning data (e.g., CoT data), multiple LLMs and parameter-efficient methods (e.g., lora, p-tuning) together for easy use. We welcome open-source enthusiasts to initiate any meaningful PR on this repo and integrate as many LLM related technologies as possible. 我们打造了方便研究人员上手和使用大模型等微调平台，我们欢迎开源爱好者发起任何有意义的pr！","PhoebusSi, dkqkxx, re-burn",30,2023-03-24,2023-12-12,0
dvlab-research/MiniGemini,Model repo,Multimodal,3171,1,0.03%,11,0.35%,279,"Official repo for ""Mini-Gemini: Mining the Potential of Multi-modality Vision Language Models""","yanwei-li, wcy1122, JulianJuaner",5,2024-03-26,2024-04-17,0
TabbyML/tabby,Applications,Coding,21043,1,0.00%,72,0.34%,954,Self-hosted AI coding assistant,"wsxiaoys, icycodes, boxbeam",95,2023-03-16,2024-09-12,4670
whitead/paper-qa,Applications,Info aggregation,4246,1,0.03%,13,0.34%,405,High accuracy RAG for answering questions from scientific documents with citations,"jamesbraza, geemi725, MilesCranmer",19,2023-02-05,2024-09-10,0
ahmadbilaldev/langui,AI engineering,AI interface,2396,1,0.04%,8,0.33%,124,"UI for your AI. Open Source Tailwind components tailored for your GPT, generative AI, and LLM projects.","ahmadbilaldev, ahmadawais, wenyang0",4,2023-05-24,2023-10-26,0
e2b-dev/e2b,AI engineering,Agent,6619,1,0.02%,22,0.33%,422,Secure open source cloud runtime for AI apps & AI agents,"ValentaTomas, mlejva, jakubno",18,2023-03-04,2024-08-14,0
